model,accuracy,macro_f1,confusion_matrix,t1,t2
Cosine Thresholds,0.21052631578947367,0.21529584900371415,"[[7, 9, 24], [8, 9, 20], [19, 10, 8]]",0.14405921578407288,0.19933103084564213
Logistic Regression (centroid features),0.5877192982456141,0.5931093884582257,"[[16, 21, 3], [12, 23, 2], [4, 5, 28]]",,
MLP (centroid features),0.5877192982456141,0.5931093884582257,"[[16, 21, 3], [12, 23, 2], [4, 5, 28]]",,
Logistic Regression (pairwise features),0.42105263157894735,0.4190377905548184,"[[16, 15, 9], [17, 11, 9], [11, 5, 21]]",,
MLP (abs diff + pairwise features),0.7456140350877193,0.7450142450142451,"[[30, 5, 5], [4, 29, 4], [4, 7, 26]]",,
